,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
20,0,0,0.017035645,0.018114477,0.016382447,0.026105297,0.026891591,0.014045511,0.015608312,0.031903416,0.029903807,0.019357008,0.024666879,0.021109476,0.018944362,0.01983732,0.022393449,0.024154758,0.030256072,0.022512787,0.028652302,0.026988874,0.041562567,0.02959792,0.028868153,0.041115737,0.034443633,0.064978193,0.063844068,0.067001295,0.049445311,0.053280121,0.062569528,0.056965197,0.065566487,0.060611172,0.068306215,0.064870351,0.058606754,0.062967486,0.061449531,0.054736093,0.066761072,0.056060166,0.056946214,0.057448894,0.064349063,0.049897196,0.04237039,0,0
20,0,0,0.014573346,0.021314701,0.012781341,0.023015161,0.023596115,0.013802724,0.011485506,0.024076577,0.030924009,0.021285779,0.02248724,0.022176327,0.019998368,0.015737282,0.018773209,0.023782776,0.022216159,0.021309158,0.020197716,0.018161353,0.030973365,0.017846812,0.026315526,0.029998882,0.034899585,0.04611307,0.044455155,0.041328112,0.030835859,0.028081247,0.033241222,0.02923339,0.044473238,0.044190661,0.037825348,0.043487513,0.050608915,0.050318026,0.054250325,0.048275736,0.054319217,0.053536741,0.039121429,0.052925426,0.045802786,0.036388058,0.032907976,0,0
21,0,0,0.016508134,0.021940278,0.01503074,0.0244497,0.024524319,0.013375633,0.015292504,0.02114674,0.025612025,0.017774432,0.022022304,0.018402572,0.018356007,0.015284569,0.016961622,0.015257056,0.021967263,0.017042546,0.01559194,0.018879911,0.025101406,0.020996611,0.024120804,0.028606776,0.031472724,0.058847248,0.041446348,0.042526702,0.039161379,0.026484738,0.033559262,0.034089187,0.042450883,0.03982679,0.032583437,0.036266204,0.033103448,0.035356154,0.02940339,0.025669012,0.030398175,0.030774156,0.031146859,0.033086566,0.03766295,0.031568428,0.027131705,0,0
21,0,0,0.014026342,0.018123534,0.01222297,0.022513429,0.020857892,0.010779298,0.010595809,0.024624815,0.038431893,0.022948659,0.017115336,0.021482089,0.016901188,0.016752408,0.018645859,0.016212808,0.020208553,0.016456005,0.013251508,0.013951564,0.020986089,0.023871577,0.019211096,0.023531387,0.022307696,0.04968096,0.027175409,0.031277873,0.038549309,0.025811851,0.029835334,0.029626388,0.037953228,0.031564181,0.030326706,0.030461837,0.021643277,0.02902396,0.033068574,0.031444886,0.035826982,0.03245532,0.024593949,0.03374093,0.030456511,0.024023523,0.015493667,0,0
22,0,0,0.009752317,0.014744522,0.018047031,0.017235175,0.013605154,0.012855417,0.011489254,0.023674236,0.028490816,0.017034213,0.016426135,0.015627626,0.01435901,0.012948638,0.014308611,0.015160857,0.0210078,0.017997911,0.014641574,0.017325088,0.020827625,0.01574723,0.017118466,0.021384819,0.022094841,0.030087122,0.024084411,0.029571793,0.01955843,0.01606366,0.023726712,0.024435714,0.025458208,0.020251254,0.026303818,0.025313815,0.030079682,0.024798819,0.028857876,0.026395329,0.03665467,0.032977674,0.026155266,0.036714104,0.039874746,0.02298216,0.023431342,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006433195,0.01199654,0.015466462,0.018500985,0.014788814,0.012878532,0.015633055,0.016789984,0.013749641,0.015581658,0.0204832,0.016063088,0.024214117,0.020280459,0.027066955,0.019238651,0.017401494,0.020179729,0.018211591,0.020947949,0.018023873,0.028112178,0.023838238,0.025131692,0.025343697,0.021259273,0.020063251,0.02627685,0.024288097,0.021358088,0.024965412,0.022193883,0.01759771,0.011880043,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007516958,0.019394389,0.018362058,0.016085462,0.016154086,0.013526243,0.018489128,0.018260317,0.020585084,0.018008651,0.019569411,0.019161572,0.018978886,0.015017015,0.02177991,0.020364939,0.023710097,0.01911596,0.018016808,0.021526152,0.019334153,0.017595117,0.012117651,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002616431,0.002637131,0.00404717,0.005664178,0.015781273,0.01509897,0.016978753,0.016970592,0.011993071,0.017827004,0.013907233,0.011113051,0.007352942,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
